id,category,name,description,measure,price,visible,featured,discount,tags,images
jarrones-01,jarrones,Set de 2 Esculturas Entrelazadas,"Dos esculturas abstractas blancas que evocan conexión y abrazo. De diseño minimalista y románticas, perfectas para darle un toque artístico a cualquier rincón de tu hogar.","Grande 23 cm, Pequeña 19 cm",300,TRUE,FALSE,,"escultura, abstracta, blanca, romántica, pareja, decoración, minimalista","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/escultura-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/escultura-1-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/escultura-1-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/escultura-1-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/escultura-1-4.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/escultura-1-5.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/escultura-1-6.jpeg"
jarrones-02,jarrones,Florero Vasija Blanco Minimalista,Florero de cerámica color blanco estilo minimalista de vasija con asa. Perfecto para todos los espacios de tu hogar y darle un acento cálido y rústico moderno.,25 cm de altura,175,TRUE,FALSE,,"florero, blanco, cerámica, vasija, minimalista, asa","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-2-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-2-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-2-3.jpeg"
jarrones-03,jarrones,Set de 2 Jarrones Dona Negro y Zapote,"Set de 2 jarrones de cerámica en acabado negro y zapote, forma dona, estilo minimalista. Un contraste elegante perfecto para todos los espacios de tu hogar.","Grande 23 cm, Pequeña 20 cm",300,TRUE,FALSE,,"jarrón, dona, negro, zapote, terracota, cerámica, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-3-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-3-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-3-4.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-3-5.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-3-6.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-3-7.jpeg"
jarrones-04,jarrones,Set de 2 Jarrones Entrelazados Negros,"Set de 2 jarrones de cerámica entrelazados estilo minimalista, en acabado negro mate. Sus formas orgánicas (creciente y dona) crean una composición escultural única para tu hogar.","Grande 23 cm, Pequeña 18 cm",300,TRUE,FALSE,,"jarrón, entrelazado, negro, cerámica, creciente, dona, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-4.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-4-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-4-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-4-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-4-5.jpeg"
jarrones-05,jarrones,Set de 2 Jarrones Dona Negro Mate,"Set de 2 jarrones de cerámica lisos color negro forma de dona, estilo minimalista. Perfectos para todos los espacios de tu hogar; aportan profundidad y elegancia.","Grande 23 cm, Pequeña",300,TRUE,FALSE,,"jarrón, dona, negro, mate, cerámica, minimalista, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-5.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-5-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-5-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-5-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-5-4.jpeg"
jarrones-06,jarrones,Set de 3 Jarrones Dona Blancos,"Set de 3 jarrones de cerámica blancos lisos forma de dona estilo minimalista, perfectos para todos los espacios de tu hogar. Llenan de calidez y pureza cualquier repisa.","Grande 20 cm, Mediano 18 cm, Pequeño 15 cm",350,TRUE,FALSE,,"jarrón, dona, blanco, cerámica, minimalista, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-6.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-6-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-6-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-6-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-6-4.jpeg"
jarrones-07,jarrones,Set de 2 Jarrones Blancos Irregulares,"Set de 2 jarrones de cerámica blancos irregulares con textura, estilo orgánico minimalista. Sus formas únicas aportan un aire artístico y natural a tu hogar.","Grande 20 cm, Pequeña 14 cm",300,TRUE,FALSE,,"jarrón, blanco, irregular, textura, orgánico, cerámica, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-7.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-7-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-7-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-7-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-7-4.jpeg"
jarrones-08,jarrones,Set de 2 Jarrones Dona Blancos Lisos,"Set de 2 jarrones de cerámica blancos lisos forma de dona, estilo minimalista. Perfectos para todos los espacios de tu hogar; transmiten paz y pureza.","Grande 23 cm, Pequeña",300,TRUE,FALSE,,"jarrón, dona, blanco, liso, cerámica, minimalista, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-8.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-8-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-8-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-8-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-8-4.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-8-5.jpeg"
jarrones-09,jarrones,Set de 2 Jarrones Blancos Orgánicos,"Set de 2 jarrones de cerámica blancos de formas orgánicas (arco y dona), estilo minimalista escultural. Perfectos para darle un aire contemporáneo y artístico a tu espacio.","Grande 23 cm, Pequeña 18 cm",300,TRUE,FALSE,,"jarrón, blanco, orgánico, arco, dona, cerámica, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9-3.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9-4.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9-5.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9-6.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-9-7.jpeg"
jarrones-10,jarrones,Set de 2 Jarrones Origami Gris Degradado,"Set de 2 jarrones altos con diseño geométrico tipo origami en degradado gris a blanco. Un statement piece moderno y elegante para mesas de entrada, comedores o salas.","Grande 30 cm, Pequeña 27 cm",300,TRUE,FALSE,,"jarrón, gris, degradado, origami, geométrico, moderno, alto, set","https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-10.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-10-1.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-10-2.jpeg, https://klugsystem-public-storage.s3.us-east-1.amazonaws.com/sweethome/assets/images/jarrones/jarron-10-3.jpeg"
